[20:15:47.981] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:48.233] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:48.483] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:48.749] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:49.016] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:49.269] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:49.531] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:49.798] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:50.049] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:50.315] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:50.580] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:50.831] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:51.098] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:51.348] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:51.616] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:51.883] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:52.148] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:52.414] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:52.665] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:52.932] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:53.183] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:53.448] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:53.700] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:53.965] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:54.230] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:54.483] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:54.748] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:54.998] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:55.266] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:55.520] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:55.782] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:56.032] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:56.299] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:56.565] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:56.831] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:57.099] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:57.366] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:57.632] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:57.900] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:58.165] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:58.433] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:58.698] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:58.964] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:59.215] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:59.481] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:59.732] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:59.999] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:00.265] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:00.515] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:00.781] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:01.032] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:01.283] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:01.548] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:01.798] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:02.049] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:02.316] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:02.570] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:02.832] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:03.081] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:03.347] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:03.599] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:03.865] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:04.131] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:04.399] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:04.666] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:04.916] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:05.181] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:05.431] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:05.697] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:05.949] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:06.199] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:06.465] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:06.716] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:06.981] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:07.249] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:07.499] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:07.765] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:08.030] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:08.283] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:08.533] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:08.798] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:09.066] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:09.330] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:09.581] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:09.849] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:10.101] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:10.352] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:10.603] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:10.854] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:11.120] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:11.386] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:11.639] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:11.903] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:12.154] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:12.418] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:12.670] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:12.935] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:13.185] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:13.438] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:13.703] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:13.953] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:14.219] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:14.471] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:14.737] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:15.003] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:15.270] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:15.521] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:15.786] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:16.053] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:16.304] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:16.570] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:16.835] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:17.087] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:17.353] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:17.620] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:17.887] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:18.136] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:18.386] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:18.652] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:18.902] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:19.153] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:19.403] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:19.669] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:19.921] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:20.187] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:20.454] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:20.721] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:20.986] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:21.237] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:21.501] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:21.759] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:22.020] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:22.271] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:22.535] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:22.785] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:23.039] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:23.303] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:23.560] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:23.820] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:24.085] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:24.337] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:24.604] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:24.855] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:25.119] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:25.370] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:25.619] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:25.888] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:26.153] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:26.421] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:26.671] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:26.937] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:27.204] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:27.469] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:16:27.720] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
